Year,Entity,TempVal,CO2Val
1977,Global,0.25,18355439225
1978,Global,0.11,18561698852
1979,Global,0.18,19594228807
1980,Global,0.32,19388094366
1981,Global,0.53,18787122618
1982,Global,0.12,18624075692
1983,Global,0.51,18549448038
1984,Global,0.07,19216866047
1985,Global,0.11,19792621843
1986,Global,0.31,20395949534
1987,Global,0.46,20912413491
1988,Global,0.59,21681109322
1989,Global,0.37,22154335730
1990,Global,0.67,22181807367
1991,Global,0.54,22429377426
1992,Global,0.25,22195105131
1993,Global,0.36,22153143108
1994,Global,0.49,22533832969
1995,Global,0.78,23007425377
1996,Global,0.36,23522979106
1997,Global,0.65,23915329404
1998,Global,0.99,23984983896
1999,Global,0.79,23930561468
2000,Global,0.64,24558691083
2001,Global,0.86,25137999688
2002,Global,0.97,25494190555
2003,Global,0.96,26866738381
2004,Global,0.83,28187598935
2005,Global,1.1,29254906351
2006,Global,0.99,30286836386
2007,Global,1.13,30880145296
2008,Global,0.91,31875755797
2009,Global,0.92,31523142973
2010,Global,1.16,33066651212
2011,Global,0.93,34357365920
2012,Global,0.97,34919288710
2013,Global,1.05,35207885978
2014,Global,1.03,35505827039
2015,Global,1.42,35462746737
2016,Global,1.53,35675099439
2017,Global,1.41,36153261645